"Participant"	"Affiliation_institution_Brazilian_state"	"Area_of_study"	"Institution"	"Movement_ecology_group_in_institution"	"Works_with_movement"	"When_started_to_work_with_movement"	"Type_of_research"	"Taxon"	"Biome_standardized"	"Level_study"	"Components_mov_ecology_framework"	"Techonology_used"	"Challenges"
1	"MG"	"Ecology"	"Museu Paraense Emílio Goeldi"	"No"	"Yes"	1/1/2009	"Applied"	"MAMMALS"	"Amazon"	"Ecosystem"	"Padrões de movimentação (Busca identificar padrões na movimentação?)"	"GPS Telemetry"	
2	"SP"	"Ecology/Zoology"	"Unesp RC"	"No"	"Yes"	20/9/2014	"Applied"	"BIRDS"	"Cerrado"	"Population"	"Capacidade de navegação (Busca entender para onde e quando os organismos se movem?)"	"GPS Telemetry, Geolocator"	"Burocráticos, Financeiros, Análise de dados"
3	"SP"	"Ecology/Zoology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/8/2014	"Applied"	"MAMMALS"	"Cerrado"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.), Consequências da movimentação para processos ecológicos e para o ambiente."	"GPS Telemetry"	"Financeiros, Tecnológicos, Análise de dados"
4	"SP"	"Ecology/Zoology/Botanics"	"UNESP/Rio Claro"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
5	"SP"	"Ecology/Zoology"	"UFSCar/Departamento de Ecologia e Biologia Evolutiva"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
6	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	1/8/2014	"Applied"	"MAMMALS"	"Pantanal"	"Population"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.)"	"GPS Telemetry"	"Análise de dados, trabalhei com dados disponibilizados por outros"
7	"SP"	"Ecology/Zoology/Conservation Biology"	"UFSM"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
8	"SP"	"Ecology"	"USP RB"	"No"	"Yes"	10/1/2009	"Theoretical/Applied"	"MAMMALS"	"Cerrado"	"Individual"		"GPS Telemetry, VHF Telemetry"	"Burocráticos, Financeiros, Tecnológicos, Análise de dados"
9	"SP"	"Ecology/Zoology"	"--"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
10	"RJ"	"Ecology"	"UENF/Laboratório de Ciências Ambientais"	"No"	"Yes"	1/5/2015	"Applied"	"BIRDS"	"Atlantic Forest"	"Population"	"Capacidade de locomoção (Busca entender como ocorre a movimentação?) / Motion capacity (Do you wish to understand how movement operates?), Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Burocráticos, Financeiros"
